Label,vfbLabel,XML ,ThisBox,NoBoxes,BoxSize,xMin,yMin,xMax,yMax
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-24-27_sideLeft/000270_r.xml,1,1,2073600,1,1,1920,1080
vehicle fallback,water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-03-22_17-39-26_2_sideRight/0005880.xml,1,1,2073600,1,1,1920,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-03-22_17-39-26_2_sideRight/000588_r.xml,1,1,2068200,1,1,1915,1080
vehicle fallback,trailer,IDD_Detection/Annotations/sideRight/BLR-2018-04-19_17-26-55_sideRight/000336_r.xml,1,1,2067840,0,0,1919,1076
vehicle fallback,trailer,IDD_Detection/Annotations/sideRight/BLR-2018-04-19_17-26-55_sideRight/0003360.xml,1,1,2066285,3,1,1917,1079
vehicle fallback,water tanker,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-24-27_sideLeft/0002700.xml,1,1,2042670,1,16,1918,1080
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-05-14_13-38-46_sideRight/000294_r.xml,1,1,1960245,16,52,1920,1080
vehicle fallback,trailer,IDD_Detection/Annotations/sideRight/BLR-2018-03-22_17-39-26_1_sideRight/000834_r.xml,1,1,1773225,2,47,1918,971
vehicle fallback,trailer,IDD_Detection/Annotations/sideRight/BLR-2018-03-22_17-39-26_1_sideRight/0008340.xml,1,1,1769318,2,40,1920,961
vehicle fallback,trailer,IDD_Detection/Annotations/sideRight/BLR-2018-03-22_17-39-26_2_sideRight/000504_r.xml,1,1,1756080,295,1,1920,1080
vehicle fallback,tractor,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-34-27_sideLeft/000534_r.xml,1,1,1745568,3,166,1916,1077
vehicle fallback,trailer,IDD_Detection/Annotations/sideRight/BLR-2018-03-22_17-39-26_2_sideRight/0005040.xml,1,1,1726920,322,1,1920,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-05-07_12-01-06_sideRight/000648_r.xml,1,1,1665360,379,1,1920,1080
vehicle fallback,tractor,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-34-27_sideLeft/0005340.xml,1,1,1608960,1,243,1920,1080
vehicle fallback,tractor,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-54-27_sideLeft/000264_r.xml,1,1,1507500,1,76,1500,1080
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-05-17_16-39-05_sideRight/000558_r.xml,1,1,1436171,1,128,1507,1080
vehicle fallback,tractor,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-54-27_sideLeft/0002640.xml,1,1,1408876,1,139,1502,1076
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-06-06_16-00-01_sideLeft/000024_r.xml,1,1,1403530,1,1,1577,890
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-05-22_13-21-45_sideRight/0003390.xml,1,1,1399267,434,140,1920,1080
vehicle fallback,bulldozer,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_13-13-31_sideLeft/0003570.xml,1,1,1351080,1,1,1251,1080
vehicle fallback,trailer,IDD_Detection/Annotations/sideRight/BLR-2018-05-29_11-19-12_sideRight/000060_r.xml,1,1,1325940,688,1,1917,1078
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-05-09_12-20-55_sideRight/0007620.xml,1,1,1309492,0,0,1216,1075
vehicle fallback,water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-05-29_10-59-01_sideRight/0003480.xml,1,1,1308528,458,147,1861,1078
vehicle fallback,bulldozer,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_13-13-31_sideLeft/000357_r.xml,1,1,1289520,1,1,1194,1080
vehicle fallback,water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-05-29_10-59-01_sideRight/000348_r.xml,1,1,1286560,362,135,1721,1080
vehicle fallback,tractor,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-11_13-42-30_sideRight_right/0005736.xml,1,1,1285568,222,271,1917,1028
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-05-17_16-22-00_sideRight/000264_r.xml,1,1,1212928,252,320,1899,1055
vehicle fallback,trailer,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_13-21-45_sideLeft/0002850.xml,2,2,1135293,1,403,1697,1071
